# y_plus_values_1, u_plus_values_1
391.553184, 20.710464
392.197086, 20.714477
392.840987, 20.718444
393.483817, 20.722411
394.127719, 20.726378
394.770549, 20.730345
395.414450, 20.734218
396.058352, 20.738138
396.701182, 20.742012
397.345084, 20.745932
397.987914, 20.749805
398.631815, 20.753632
399.275717, 20.757459
399.918547, 20.761286
400.562448, 20.765113
401.205278, 20.768940
401.849180, 20.772720
402.493081, 20.776500
403.135912, 20.780233
403.779813, 20.783967
404.422643, 20.787700
405.066545, 20.791387
405.710446, 20.795121
406.353276, 20.798808
406.997178, 20.802494
407.640008, 20.806135
408.283910, 20.809775
408.927811, 20.813368
409.570641, 20.817008
410.214543, 20.820602
410.857373, 20.824195
411.501274, 20.827789
412.145176, 20.831336
412.788006, 20.834882
413.431907, 20.838429
414.074738, 20.841929
414.718639, 20.845430
415.362541, 20.848883
416.005371, 20.852383
416.649272, 20.855837
417.292102, 20.859290
417.936004, 20.862697
418.579905, 20.866104
419.222735, 20.869557
419.866637, 20.872917
420.509467, 20.876277
421.153369, 20.879638
421.797270, 20.882998
422.440100, 20.886311
423.084002, 20.889625
423.726832, 20.892892
424.370733, 20.896205
425.014635, 20.899472
425.657465, 20.902692
426.301366, 20.905959
426.944197, 20.909179
427.588098, 20.912352
428.232000, 20.915572
428.874830, 20.918746
429.518731, 20.921919
430.162633, 20.925046
430.805463, 20.928173
431.449364, 20.931300
432.092194, 20.934380
432.736096, 20.937460
433.379997, 20.940540
434.022828, 20.943620
434.666729, 20.946654
435.309559, 20.949687
435.953461, 20.952721
436.597362, 20.955707
437.240192, 20.958648
437.884094, 20.961634
438.526924, 20.964575
439.170825, 20.967515
439.814727, 20.970408
440.457557, 20.973348
441.101459, 20.976242
441.744289, 20.979088
442.388190, 20.981935
443.032092, 20.984735
443.674922, 20.987582
444.318823, 20.990382
444.961654, 20.993182
445.605555, 20.995936
446.249457, 20.998736
446.892287, 21.001443
447.536188, 21.004196
448.179018, 21.006903
448.822920, 21.009563
449.466821, 21.012270
450.109651, 21.014930
450.753553, 21.017590
451.396383, 21.020157
452.040285, 21.022770
452.684186, 21.025384
453.327016, 21.027951
453.970918, 21.030517
454.613748, 21.033084
455.257649, 21.035604
455.901551, 21.038124
456.544381, 21.040598
457.188282, 21.043071
457.831113, 21.045545
458.475014, 21.047971
459.118916, 21.050398
459.761746, 21.052825
460.405647, 21.055205
461.048477, 21.057585
461.692379, 21.059919
462.336280, 21.062299
462.979110, 21.064585
463.623012, 21.066919
464.265842, 21.069159
464.909744, 21.071446
465.553645, 21.073732
466.196475, 21.075973
466.840377, 21.078166
467.483207, 21.080359
468.127108, 21.082553
468.771010, 21.084746
469.413840, 21.086846
470.057741, 21.088993
470.700572, 21.091093
471.344473, 21.093193
471.988375, 21.095293
472.631205, 21.097347
473.275106, 21.099354
473.917936, 21.101407
474.561838, 21.103367
475.205739, 21.105374
475.848569, 21.107334
476.492471, 21.109294
477.135301, 21.111161
477.779203, 21.113074
478.423104, 21.114988
479.065934, 21.116854
479.709836, 21.118721
480.352666, 21.120541
480.996567, 21.122361
481.640469, 21.124135
482.283299, 21.125955
482.927201, 21.127728
483.570031, 21.129455
484.213932, 21.131135
484.857834, 21.132815
485.500664, 21.134495
486.144565, 21.136175
486.787395, 21.137808
487.431297, 21.139442
488.075198, 21.141029
488.718029, 21.142615
489.361930, 21.144155
490.004760, 21.145695
490.648662, 21.147236
491.292563, 21.148729
491.935393, 21.150222
492.579295, 21.151716
493.222125, 21.153162
493.866026, 21.154563
494.509928, 21.155963
495.152758, 21.157316
495.796660, 21.158716
496.439490, 21.160023
497.083391, 21.161329
497.727293, 21.162636
498.370123, 21.163943
499.014024, 21.165203
499.656854, 21.166416
500.300756, 21.167630
500.944657, 21.168843
501.587488, 21.170010
502.231389, 21.171177
502.874219, 21.172297
503.518121, 21.173417
504.162022, 21.174537
504.804852, 21.175610
505.448754, 21.176637
506.091584, 21.177617
506.735485, 21.178644
507.379387, 21.179670
508.022217, 21.180604
508.666119, 21.181537
509.308949, 21.182470
509.952850, 21.183357
510.596752, 21.184244
